Time,Postmile (Abs),Postmile (CA),VDS,AggFlow,# Lane Points,% Observed
00:00,69.59,11.56,400805,37,2,100.0
00:00,67.99,9.96,400551,64,2,0.0
00:00,65.10,R7.07,401424,23,2,100.0
00:00,63.09,5.06,400287,16,2,100.0
00:00,61.06,3.03,400369,141,2,100.0
00:00,59.88,1.85,404692,19,2,100.0
00:00,59.49,R1.46,400295,28,2,100.0
00:00,58.86,R.83,407460,19,2,100.0
00:00,57.75,.6,402157,55,5,100.0
00:00,57.75,.6,402158,38,5,60.0
00:00,57.60,.45,402156,62,5,100.0
00:00,57.60,.45,402155,70,5,80.0
00:00,57.45,.3,402153,51,5,100.0
00:00,57.45,.3,402154,50,5,100.0
00:00,57.30,.15,402151,75,5,0.0
00:00,57.30,.15,402152,75,5,0.0
00:00,56.59,25,402541,50,5,100.0
00:00,56.59,25,402540,59,5,80.0
00:00,55.90,24.23,402411,51,4,100.0
00:00,55.31,23.64,401768,72,4,0.0
00:00,54.67,23,404690,73,4,0.0
00:00,54.37,22.7,404689,148,4,0.0
00:00,53.90,22.23,404687,81,4,50.0
00:00,53.57,21.9,401780,51,4,100.0
00:00,53.31,21.64,401113,85,5,100.0
00:00,53.01,21.34,405924,40,4,100.0
00:00,52.78,21.11,401718,71,5,60.0
00:00,52.18,20.51,407456,64,4,0.0
00:00,51.97,20.3,407455,73,4,0.0
00:00,51.72,20.05,407457,73,4,0.0
00:00,51.05,19.38,407452,68,3,0.0
00:00,50.60,19.09,400184,57,4,100.0
00:00,50.51,R19,401742,61,4,0.0
00:00,49.33,R17.82,401770,75,5,100.0
00:00,49.09,R17.58,401778,170,5,100.0
00:00,49.01,R17.5,401762,181,6,100.0
00:00,48.50,17.01,400505,170,5,100.0
00:00,48.30,16.81,404696,170,4,0.0
00:00,48.29,16.8,404684,261,6,83.3
00:00,47.89,16.4,404695,171,4,0.0
00:00,47.87,16.38,407464,151,4,100.0
00:00,47.54,16.05,401407,199,6,100.0
00:00,47.31,15.82,400814,342,5,80.0
00:00,46.88,15.39,400078,187,6,66.7
00:00,46.38,14.89,401542,186,6,0.0
00:00,46.02,14.53,401095,104,4,0.0
00:00,45.76,14.27,400801,74,4,100.0
00:00,45.59,14.1,404694,68,3,100.0
00:00,45.19,13.7,400025,82,5,100.0
00:00,44.85,13.36,400211,86,5,80.0
00:00,44.81,13.32,404683,97,5,0.0
00:00,44.49,13,401566,72,4,100.0
00:00,44.21,12.72,400774,159,5,60.0
00:00,43.61,12.24,400303,74,4,0.0
00:00,43.46,12.09,400150,68,4,100.0
00:00,43.31,11.94,400785,279,4,100.0
00:00,43.17,11.8,401373,58,3,100.0
00:00,42.77,11.4,400933,76,4,100.0
00:00,42.59,11.22,400636,66,4,100.0
00:00,42.18,10.81,401444,88,4,0.0
00:00,41.86,R10.49,401924,73,4,100.0
00:00,41.62,R10.25,401724,71,4,100.0
00:00,41.28,9.91,407462,88,4,0.0
00:00,40.68,9.31,407463,97,4,0.0
00:00,40.47,9.1,400450,77,4,100.0
00:00,40.18,8.81,400712,70,4,100.0
00:00,39.99,8.62,401104,69,4,100.0
00:00,39.81,8.44,401112,66,4,100.0
00:00,39.35,7.98,400207,75,4,75.0
00:00,38.96,7.59,401314,62,4,100.0
00:00,38.88,7.51,400554,108,4,0.0
00:00,38.67,7.3,400090,67,5,0.0
00:00,38.24,6.87,400972,58,4,0.0
00:00,37.68,R6.31,400152,63,5,100.0
00:00,37.32,R5.95,401422,59,5,100.0
00:00,37.07,5.7,401098,59,5,100.0
00:00,36.39,5.02,401107,59,5,100.0
00:00,36.08,4.71,400988,47,5,100.0
00:00,35.78,4.41,400118,42,4,100.0
00:00,35.58,R4.21,401441,52,4,100.0
00:00,35.40,R4.03,401468,49,4,100.0
00:00,35.17,R3.8,401955,73,5,0.0
00:00,34.82,3.45,401279,66,5,100.0
00:00,34.36,2.99,401487,99,4,0.0
00:00,34.15,2.78,406906,48,4,100.0
00:00,33.90,2.53,400212,66,4,75.0
00:00,33.60,2.23,400880,59,4,100.0
00:00,33.32,1.95,401102,21,4,100.0
00:00,32.41,R1.04,401917,84,4,0.0
00:00,31.83,R.46,401359,63,4,100.0
00:00,31.79,R21.78,401593,55,4,100.0
00:00,31.50,R.13,401434,54,4,100.0
00:00,31.48,R21.47,400546,119,5,0.0
00:00,31.16,21.15,400335,45,4,100.0
00:00,30.84,20.83,401594,119,4,100.0
00:00,30.54,20.53,401587,67,5,100.0
00:00,30.34,20.33,401582,68,5,60.0
00:00,30.15,20.14,401697,60,5,100.0
00:00,29.94,R19.93,401608,31,3,100.0
00:00,16.30,6.37,402799,68,3,100.0
00:00,15.89,5.96,402796,74,3,100.0
00:00,15.73,5.8,413985,71,3,100.0
00:00,14.80,4.87,413984,82,3,66.7
00:00,14.30,4.37,413983,70,3,100.0
00:00,13.98,M4.05,402794,76,4,100.0
00:00,13.95,4.02,413980,68,3,100.0
00:00,12.41,2.48,400376,124,4,0.0
00:00,12.21,M2.28,403257,123,4,0.0
00:00,11.86,M1.93,403250,61,3,100.0
00:00,11.41,1.48,401583,57,4,75.0
00:00,10.51,M.58,403246,49,3,100.0
00:00,10.28,.35,400232,81,3,0.0
00:00,9.95,M.02,411716,48,3,100.0
00:00,9.60,9.61,400870,44,3,100.0
00:00,8.72,M8.73,403244,42,3,100.0
00:00,8.54,8.55,407162,43,3,100.0
00:00,7.89,7.9,407163,43,3,100.0
00:00,7.57,7.58,407148,37,3,100.0
00:00,7.09,7.1,407150,48,4,100.0
00:00,6.62,6.63,407151,53,4,100.0
00:00,6.29,6.3,407152,40,4,100.0
00:00,5.70,5.71,407161,54,4,100.0
00:00,5.21,5.22,407174,59,4,75.0
00:00,5.01,5.02,407153,50,4,100.0
00:00,4.48,4.49,407155,58,4,100.0
00:00,3.93,3.94,407157,57,4,100.0
00:00,3.41,3.42,407181,98,4,0.0
00:00,2.80,2.81,407180,71,4,100.0
00:00,2.43,2.44,407179,68,4,100.0
00:00,1.78,1.79,407177,89,4,100.0
00:00,1.65,1.66,407176,73,4,100.0
00:00,1.41,1.42,407170,73,4,100.0
00:00,1.05,1.06,407167,104,5,100.0
00:00,0.47,.48,407165,138,6,100.0
00:00,0.27,.28,407173,113,3,0.0
00:00,0.24,.25,407172,73,4,0.0
00:05,69.59,11.56,400805,17,2,100.0
00:05,67.99,9.96,400551,54,2,0.0
00:05,65.10,R7.07,401424,19,2,100.0
00:05,63.09,5.06,400287,25,2,100.0
00:05,61.06,3.03,400369,154,2,100.0
00:05,59.88,1.85,404692,20,2,100.0
00:05,59.49,R1.46,400295,38,2,100.0
00:05,58.86,R.83,407460,25,2,100.0
00:05,57.75,.6,402158,44,5,60.0
00:05,57.75,.6,402157,51,5,100.0
00:05,57.60,.45,402156,52,5,100.0
00:05,57.60,.45,402155,68,5,80.0
00:05,57.45,.3,402154,48,5,100.0
00:05,57.45,.3,402153,55,5,100.0
00:05,57.30,.15,402152,101,5,0.0
00:05,57.30,.15,402151,92,5,0.0
00:05,56.59,25,402541,54,5,100.0
00:05,56.59,25,402540,58,5,80.0
00:05,55.90,24.23,402411,58,4,100.0
00:05,55.31,23.64,401768,77,4,0.0
00:05,54.67,23,404690,69,4,0.0
00:05,54.37,22.7,404689,162,4,0.0
00:05,53.90,22.23,404687,94,4,50.0
00:05,53.57,21.9,401780,58,4,100.0
00:05,53.31,21.64,401113,51,5,100.0
00:05,53.01,21.34,405924,49,4,100.0
00:05,52.78,21.11,401718,77,5,60.0
00:05,52.18,20.51,407456,85,4,0.0
00:05,51.97,20.3,407455,69,4,0.0
00:05,51.72,20.05,407457,69,4,0.0
00:05,51.05,19.38,407452,68,3,0.0
00:05,50.60,19.09,400184,54,4,100.0
00:05,50.51,R19,401742,62,4,0.0
00:05,49.33,R17.82,401770,64,5,100.0
00:05,49.09,R17.58,401778,136,5,100.0
00:05,49.01,R17.5,401762,151,6,100.0
00:05,48.50,17.01,400505,147,5,100.0
00:05,48.30,16.81,404696,152,4,0.0
00:05,48.29,16.8,404684,255,6,83.3
00:05,47.89,16.4,404695,161,4,0.0
00:05,47.87,16.38,407464,121,4,100.0
00:05,47.54,16.05,401407,164,6,100.0
00:05,47.31,15.82,400814,282,5,80.0
00:05,46.88,15.39,400078,162,6,66.7
00:05,46.38,14.89,401542,156,6,0.0
00:05,46.02,14.53,401095,107,4,0.0
00:05,45.76,14.27,400801,77,4,100.0
00:05,45.59,14.1,404694,55,3,100.0
00:05,45.19,13.7,400025,62,5,100.0
00:05,44.85,13.36,400211,64,5,80.0
